Date,Open,High,Low,Close,Volume_Titres,Volume_FCFA,Variation_Pct
2025-01-15,4855.0,4885.0,4855.0,4885.0,3911,19046570,0.0072
2025-01-16,4885.0,4885.0,4885.0,4885.0,1170,5715450,0.0
2025-01-17,4855.0,4885.0,4885.0,4855.0,1276,6214120,-0.0060999999999999995
2025-01-20,4855.0,4855.0,4855.0,4855.0,1460,7088300,0.0
2025-01-21,4860.0,4860.0,4860.0,4860.0,549,2668140,0.001
2025-01-22,4855.0,4860.0,4855.0,4860.0,822,3992865,0.0
2025-01-23,4730.0,4850.0,4850.0,4730.0,8994,43081260,-0.026699999999999998
2025-01-24,4660.0,4725.0,4660.0,4725.0,7627,35789698,-0.0011
2025-01-27,4705.0,4720.0,4720.0,4705.0,721,3397713,-0.0042
2025-01-28,4705.0,4705.0,4705.0,4705.0,2739,12886995,0.0
2025-01-29,4700.0,4715.0,4700.0,4715.0,2777,13072728,0.0021
2025-01-30,4600.0,4720.0,4720.0,4600.0,5746,26776360,-0.024399999999999998
2025-01-31,4600.0,4650.0,4600.0,4650.0,1831,8468375,0.0109
2025-02-03,4600.0,4695.0,4600.0,4695.0,1035,4810163,0.0097
2025-02-04,4600.0,4695.0,4695.0,4600.0,4635,21541163,-0.0202
2025-02-05,4600.0,4695.0,4600.0,4695.0,883,4103743,0.0207
2025-02-06,4610.0,4710.0,4610.0,4710.0,5497,25616020,0.0032
2025-02-07,4710.0,4795.0,4710.0,4795.0,6069,28842923,0.018000000000000002
2025-02-10,4755.0,4795.0,4795.0,4755.0,2601,12419775,-0.0083
2025-02-11,4610.0,4755.0,4755.0,4610.0,6495,30412838,-0.0305
2025-02-12,4800.0,4855.0,4855.0,4800.0,1186,5725415,0.0412
2025-02-13,4840.0,4845.0,4840.0,4845.0,2248,10885940,0.009399999999999999
2025-02-14,4840.0,4845.0,4840.0,4845.0,5941,28769293,0.0
2025-02-17,4850.0,4900.0,4850.0,4900.0,2862,13952250,0.011399999999999999
2025-02-18,4985.0,4990.0,4990.0,4985.0,699,3486263,0.0173
2025-02-19,4995.0,5100.0,4995.0,5100.0,10234,51656115,0.0231
2025-02-20,5100.0,5375.0,5100.0,5375.0,3723,19499213,0.053899999999999997
2025-02-21,5360.0,5690.0,5360.0,5690.0,4441,24536525,0.058600000000000006
2025-02-24,5680.0,5950.0,5680.0,5950.0,6120,35587800,0.045700000000000005
2025-02-25,5895.0,5990.0,5990.0,5895.0,6184,36748420,-0.0092
2025-02-26,5800.0,5890.0,5890.0,5800.0,4968,29037960,-0.0161
2025-02-28,5780.0,5795.0,5795.0,5780.0,8033,46490988,-0.0034000000000000002
2025-03-03,5700.0,5740.0,5740.0,5700.0,5833,33364760,-0.0138
2025-03-04,5700.0,5750.0,5750.0,5700.0,7378,42239050,0.0
2025-03-05,5690.0,5700.0,5700.0,5690.0,1484,8451380,-0.0018
2025-03-06,5670.0,5675.0,5675.0,5670.0,4681,26552973,-0.0034999999999999996
